Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
Combo Of Black Titanium Finger Ring With Cuboid Rectangle Neck Pendant For Boys And Men (Pack Of 2),4.2,83,37,259,1499
Mens Sm-648 Sports Shoes,4.1,20,4094,759,949
Analog Square Dial Stylish Silicone Strap Unisex Watch for Mens and Women -W05,4.1,78,40,219,999
Eddy RFID Blocking Black/Orange Money Clip Leather Wallet for Men - Minimal Leather Wallet for Men,4.2,78,5002,449,2000
Men's Cotton Brief (Pack of 5) (Colors May Vary),3.9,46,10152,381,710
Black Base Metal Leather Funky Multistrand Guitar Charm Bracelet for Men & Boys (Set of 4) (Multi Color),3.7,80,498,200,999
Men Briefs,4,30,14135,289,410
"Men's Synthetic Sports,Running,Casual Loafer Shoes for Boy's",3.9,25,13465,524,699
Steve Green RFID Blocking Leather Wallet for Men | Vertical Credit Debit Card Holder,4.1,80,595,499,2499
Analog Number Dial Leather Strap Watch for Men,3.8,65,7818,279,799
"Reversible PU-Leather Formal Black/Brown Belt For Men (Color-Black/Brown) belt for men, formal belt, gift for gents, Gents belt, mens belt.",3.8,71,2785,347,1199
Mens Vega-z5 Running Shoes,4.2,35,67529,649,999
Luxury Brown Leather Men's Wallet and Watch Combo Set (5G-CUHL-XQAR),3.8,80,2673,399,1999
Multi-Functional Boys Casual Business Mens Luxury Stylish Watch Black Dial Leather Strap Wrist Watches for Men-Daily Use Analog Digital Sports Men's Watch,4,51,2354,986,1999
"Men Boxer Briefs - Pack of 2 - Anti Bacterial, Colour Fresh, Quick Dry",4.1,24,8877,449,588
999 Purity 10 g Laxmi Ganesh Silver Coin,4.1,13,25,762,880
"F-04 Running Shoes,Gym Shoes,Training Shoes,Walking Shoes,Sports Shoes for Men",4,29,13044,499,699
Men's Genuine Leather Auto Lock Buckle Belt,4.2,58,2740,749,1800
Brown Blue and Black Analog Watches for Men Pack of - 3 and Brand Box (l-01-02-05),3.7,82,5192,355,1999
Men's Office Wear Compact Combed Cotton Regular Length Black Color Socks ( Free Size) - Pack of 3,4.1,56,1618,265,599
Men's Fashion Jewellery High Polished Stylish Stainless Steel Full Kada Style Bracelet For Boys and Men BR1000049,1,82,2,179,999
Men's Boss-Grass Loafer,3.9,38,1169,996,1599
RFID Protected Black NDM Leather Wallet for Men|6 Card Slots| 1 Coin Pocket|2 Hidden Compartment|2 Currency Slots|1 ID Slot|Easy Access Card.,4.1,68,3115,519,1599
Anti-Slip Unisex Cotton No show Loafer Socks - pack of 5,3.9,59,3028,265,650
Nobby Men's Maroon & Black Color Necktie,4.5,82,363,399,2196
Mens Loire-z1 Running Shoes,4,47,20315,799,1499
Genuine Leather Slim Wallet | RFID Blocking Skinny Minimal Thin Front Pocket Wallet Sleeve Card Holder for Men (Tan),4,83,1385,399,2400
